Product Id,Plant Id
FP3200P7686T,P1241
FP3200P7688T,P1241
FP3200P7689T,P1241
FP3200P7690T,P1241
FP3200P7693T,P1241
FP3200P7694T,P1241
FP3200P7701T,P1241
FP3200P7703T,P1241
FP3200P7704T,P1241
FP3200P7705T,P1241
FP3200P7706T,P1241
FP3200P7707T,P1241
FP3200P7710T,P1241
FP3200P7713T,P1241
FP3200P7716T,P1241
FP3200P7718T,P1241
FP3200P7723T,P1241
FP3200P7724T,P1241
FP3200P7725T,P1241
FP3200P7727T,P1241
FP3200P7729T,P1241
FP3200P7730T,P1241
FP3200P7732T,P1241
FP3200P7734T,P1241
FP3200P7739T,P1241
FP3200P7740T,P1241
FP3200P7741T,P1241
FP3200P7744T,P1241
FP3200P7751T,P1241
FP3200P7752T,P1241
FP3200P7753T,P1241
FP3200P7759T,P1241
FP3200P7768T,P1241
FP3200P7772T,P1241
FP3200P7773T,P1241
FP3200P7774T,P1241
FP3200P7775T,P1241
FP3200P7777T,P1241
FP3200P7779T,P1241
FP3200P7780T,P1241
FP3200P7789T,P1241
FP3200P7790T,P1241
FP3200P7796T,P1241
FP3200P7800T,P1241
FP3200P7801T,P1241
FP3200P7802T,P1241
FP3200P7803T,P1241
FP3200P7805T,P1241
FP3200P7807T,P1241
FP3200P7808T,P1241
FP3200P7809T,P1241
FP3200P7810T,P1241
FP3200P7811T,P1241
FP3200P7812T,P1241
FP3200P7813T,P1241
FP3200P7814T,P1241
FP3200P7815T,P1241
FP3200P7816T,P1241
FP3200P7817T,P1241
FP3200P7819T,P1241
FP3200P7820T,P1241
FP3200P7821T,P1241
FP3200P7826T,P1241
FP3200P7828T,P1241
FP3200P7829T,P1241
FP3200P7830T,P1241
FP3200P7831T,P1241
FP3200P7832T,P1241
FP3200P7833T,P1241
FP3200P7834T,P1241
FP3200P7835T,P1241
FP3200P7836T,P1241
FP3200P7849T,P1241
FP3200P7854T,P1241
FP3200P7855T,P1241
FP3200P8338T,P1241
FP3200P8342T,P1241
FP3200P8345T,P1241
FP3200P8347T,P1241
FP3200P8348T,P1241
FP3200P8350T,P1241
FP3200P8352T,P1241
FP3200P8357T,P1241
FP3200P8358T,P1241
FP3200P8360T,P1241
FP3200P8364T,P1241
FP3200P8365T,P1241
FP3200P8366T,P1241
FP3200P8368T,P1241
FP3200P8375T,P1241
FP3200P8377T,P1241
FP3200P8378T,P1241
FP3200P8387T,P1241
FP3200P8389T,P1241
FP3200P8394T,P1241
FP3200P8395T,P1241
FP3200P8401T,P1241
FP3200P8402T,P1241
FP3200P8403T,P1241
FP3200P8404T,P1241
FP3200P8536T,P1241
FP3200P8537T,P1241
FP3200P8539T,P1241
FP3200P8549T,P1241
FP3200P8553T,P1241
FP3200P8557T,P1241
FP3200P8564T,P1241
FP3200P8568T,P1241
FP3200P8575T,P1241
FP3200P8577T,P1241
FP3200P8578T,P1241
FP3200P8596T,P1241
FP3200P8599T,P1241
FP3200P8608T,P1241
FP3200P8630T,P1241
FP3200P8631T,P1241
FP3200P8633T,P1241
FP3200P8640T,P1241
FP3200P8647T,P1241
FP3200P8650T,P1241
FP3200P8651T,P1241
FP3200P8668T,P1241
FP3200P8674T,P1241
FP3200P8678T,P1241
FP3200P8679T,P1241
FP3200P8680T,P1241
FP3200P8681T,P1241
FP3200P8682T,P1241
FP3200P8683T,P1241
FP3200P8684T,P1241
FP3200P8685T,P1241
FP3200P8695T,P1241
FP3200P8707T,P1241
FP3200P8708T,P1241
FP3200P8713T,P1241
FP3200P8719T,P1241
FP3200P8721T,P1241
FP3200P8739T,P1241
FP3200P8745T,P1241
FP3200P8750T,P1241
FP3200P8752T,P1241
FP3200P8753T,P1241
FP3200P8764T,P1241
FP3200P8765T,P1241
FP3200P8768T,P1241
FP3200P8771T,P1241
FP3200P8772T,P1241
FP3200P8781T,P1241
FP3200P8796T,P1241
FP3200P8808T,P1241
FP3200P8822T,P1241
FP3200P8845T,P1241
FP3200P8846T,P1241
FP3200P8847T,P1241
FP3200P8850T,P1241
FP3200P8853T,P1241
FP3200P8854T,P1241
FP3200P8856T,P1241
FP3200P8860T,P1241
FP3200P8868T,P1241
FP3200P8876T,P1241
FP3200P8880T,P1241
FP3200P8891T,P1241
FP3200P8892T,P1241
FP3200P8894T,P1241
FP3200P8896T,P1241
FP3200P8900T,P1241
FP3200P8901T,P1241
FP3200P8903T,P1241
FP3200P8904T,P1241
FP3200P8906T,P1241
FP3200P8907T,P1241
FP3200P8917T,P1241
FP3200P8918T,P1241
FP3200P8920T,P1241
FP3200P8921T,P1241
FP3200P8934T,P1241
FP3200P8936T,P1241
FP3200P8937T,P1241
FP3200P8938T,P1241
